0 -11 2.52237e-05 -5.93673e-07 1 0 0 0
0.01 -10.9998 -0.000474819 9.94272e-05 0.707223 0.00153191 0.000825228 -0.706988
0.02 -10.9996 -0.000974862 0.000199448 0.707337 0.00306351 0.00165101 -0.706868
0.03 -10.9994 -0.0014749 0.000299469 0.707448 0.00459479 0.00247733 -0.706746
0.04 -10.9992 -0.00197495 0.00039949 0.707556 0.00612576 0.00330417 -0.706623
0.05 -10.999 -0.00247499 0.00049951 0.707661 0.00765643 0.00413153 -0.706498
0.06 -10.9988 -0.00297503 0.000599531 0.707764 0.00918674 0.00495945 -0.706372
0.07 -10.9986 -0.00347507 0.000699552 0.707863 0.0107167 0.00578786 -0.706244
0.08 -10.9984 -0.00397512 0.000799573 0.70796 0.0122464 0.00661678 -0.706115
0.09 -10.9982 -0.00447516 0.000899594 0.708054 0.0137757 0.00744625 -0.705984
0.1 -10.998 -0.0049752 0.000999615 0.708146 0.0153047 0.00827621 -0.705852
0.11 -10.9978 -0.00547525 0.00109964 0.708234 0.0168334 0.00910664 -0.705718
0.12 -10.9976 -0.00597529 0.00119966 0.70832 0.0183616 0.00993763 -0.705582
0.13 -10.9974 -0.00647533 0.00129968 0.708403 0.0198896 0.0107691 -0.705445
0.14 -10.9972 -0.00697537 0.0013997 0.708484 0.0214172 0.011601 -0.705307
0.15 -10.997 -0.00747542 0.00149972 0.708561 0.0229444 0.0124335 -0.705167
0.16 -10.9968 -0.00797546 0.00159974 0.708636 0.0244712 0.0132664 -0.705025
0.17 -10.9966 -0.0084755 0.00169976 0.708708 0.0259977 0.0140998 -0.704882
0.18 -10.9964 -0.00897554 0.00179978 0.708777 0.0275238 0.0149337 -0.704737
0.19 -10.9962 -0.00947559 0.0018998 0.708843 0.0290496 0.015768 -0.704591
0.2 -10.996 -0.00997563 0.00199982 0.708907 0.0305749 0.0166028 -0.704443
0.21 -10.9958 -0.0104757 0.00209984 0.708968 0.0320999 0.0174381 -0.704294
0.22 -10.9956 -0.0109757 0.00219986 0.709026 0.0336244 0.0182738 -0.704143
0.23 -10.9954 -0.0114758 0.00229989 0.709082 0.0351486 0.01911 -0.703991
0.24 -10.9952 -0.0119758 0.00239991 0.709134 0.0366724 0.0199466 -0.703837
0.25 -10.995 -0.0124758 0.00249993 0.709184 0.0381958 0.0207837 -0.703681
0.26 -10.9948 -0.0129759 0.00259995 0.709231 0.0397188 0.0216212 -0.703524
0.27 -10.9946 -0.0134759 0.00269997 0.709275 0.0412414 0.0224592 -0.703366
0.28 -10.9944 -0.013976 0.00279999 0.709317 0.0427636 0.0232975 -0.703205
0.29 -10.9942 -0.014476 0.00290001 0.709356 0.0442853 0.0241364 -0.703044
0.3 -10.994 -0.0149761 0.00300003 0.709392 0.0458066 0.0249756 -0.702881
0.31 -10.9938 -0.0154761 0.00310005 0.709425 0.0473275 0.0258153 -0.702716
0.32 -10.9936 -0.0159761 0.00320007 0.709456 0.048848 0.0266553 -0.702549
0.33 -10.9934 -0.0164762 0.00330009 0.709484 0.050368 0.0274958 -0.702382
0.34 -10.9932 -0.0169762 0.00340011 0.709509 0.0518876 0.0283367 -0.702212
0.35 -10.993 -0.0174763 0.00350014 0.709531 0.0534068 0.029178 -0.702041
0.36 -10.9928 -0.0179763 0.00360016 0.709551 0.0549255 0.0300197 -0.701869
0.37 -10.9926 -0.0184764 0.00370018 0.709568 0.0564438 0.0308618 -0.701695
0.38 -10.9924 -0.0189764 0.0038002 0.709582 0.0579616 0.0317042 -0.701519
0.39 -10.9922 -0.0194764 0.00390022 0.709593 0.059479 0.0325471 -0.701342
0.4 -10.992 -0.0199765 0.00400024 0.709602 0.0609959 0.0333903 -0.701163
0.41 -10.9918 -0.0204765 0.00410026 0.709608 0.0625124 0.034234 -0.700983
0.42 -10.9916 -0.0209766 0.00420028 0.709611 0.0640284 0.0350779 -0.700801
0.43 -10.9914 -0.0214766 0.0043003 0.709611 0.0655438 0.0359223 -0.700618
0.44 -10.9912 -0.0219767 0.00440032 0.709609 0.0670589 0.036767 -0.700433
0.45 -10.991 -0.0224767 0.00450034 0.709604 0.0685734 0.0376121 -0.700247
0.46 -10.9908 -0.0229767 0.00460036 0.709596 0.0700875 0.0384575 -0.700059
0.47 -10.9906 -0.0234768 0.00470039 0.709586 0.0716011 0.0393033 -0.699869
0.48 -10.9904 -0.0239768 0.00480041 0.709572 0.0731142 0.0401495 -0.699678
0.49 -10.9902 -0.0244769 0.00490043 0.709556 0.0746268 0.040996 -0.699485
0.5 -10.99 -0.0249769 0.00500045 0.709538 0.0761389 0.0418428 -0.699291
0.51 -10.9898 -0.0254769 0.00510047 0.709516 0.0776506 0.0426899 -0.699096
0.52 -10.9896 -0.025977 0.00520049 0.709492 0.0791617 0.0435374 -0.698898
0.53 -10.9894 -0.026477 0.00530051 0.709465 0.0806723 0.0443852 -0.698699
0.54 -10.9892 -0.0269771 0.00540053 0.709436 0.0821824 0.0452333 -0.698499
0.55 -10.989 -0.0274771 0.00550055 0.709403 0.0836919 0.0460818 -0.698297
0.56 -10.9888 -0.0279772 0.00560057 0.709368 0.085201 0.0469305 -0.698094
0.57 -10.9886 -0.0284772 0.00570059 0.709331 0.0867095 0.0477796 -0.697889
0.58 -10.9884 -0.0289772 0.00580061 0.70929 0.0882175 0.048629 -0.697682
0.59 -10.9882 -0.0294773 0.00590064 0.709247 0.089725 0.0494787 -0.697474
0.6 -10.988 -0.0299773 0.00600066 0.709201 0.0912319 0.0503287 -0.697264
